"","DEG","up.results_LC_RC_padj.1","down.results_LC_RC_padj.1"
"227","Up","Breviolum_Sid-radians_Avila-Medina_DN125165_c0_g1_i2_Symbiont",NA
"228","Up","Breviolum_Sid-radians_Avila-Medina_DN125976_c0_g2_i1_Symbiont",NA
"229","Up","Breviolum_Sid-radians_Avila-Medina_DN126314_c0_g1_i1_Symbiont",NA
"230","Up","Breviolum_Sid-radians_Avila-Medina_DN126707_c0_g1_i1_Symbiont",NA
"231","Up","Breviolum_Sid-radians_Avila-Medina_DN127764_c0_g1_i1_Symbiont",NA
"232","Up","Breviolum_Sid-radians_Avila-Medina_DN12778_c0_g1_i1_Symbiont",NA
"233","Up","Breviolum_Sid-radians_Avila-Medina_DN12980_c0_g1_i1_Symbiont",NA
"234","Up","Breviolum_Sid-radians_Avila-Medina_DN129838_c0_g1_i1_Symbiont",NA
"235","Up","Breviolum_Sid-radians_Avila-Medina_DN129972_c0_g2_i1_Symbiont",NA
"236","Up","Breviolum_Sid-radians_Avila-Medina_DN129993_c0_g2_i1_Symbiont",NA
"237","Up","Breviolum_Sid-radians_Avila-Medina_DN130124_c0_g1_i1_Symbiont",NA
"238","Up","Breviolum_Sid-radians_Avila-Medina_DN130239_c0_g1_i1_Symbiont",NA
"239","Up","Breviolum_Sid-radians_Avila-Medina_DN130978_c0_g1_i1_Symbiont",NA
"240","Up","Breviolum_Sid-radians_Avila-Medina_DN131769_c0_g2_i1_Symbiont",NA
"241","Up","Breviolum_Sid-radians_Avila-Medina_DN132023_c0_g1_i1_Symbiont",NA
"242","Up","Breviolum_Sid-radians_Avila-Medina_DN1324_c0_g1_i1_Symbiont",NA
"243","Up","Breviolum_Sid-radians_Avila-Medina_DN132592_c0_g1_i1_Symbiont",NA
"244","Up","Breviolum_Sid-radians_Avila-Medina_DN133368_c0_g1_i1_Symbiont",NA
"245","Up","Breviolum_Sid-radians_Avila-Medina_DN133410_c0_g1_i1_Symbiont",NA
"246","Up","Breviolum_Sid-radians_Avila-Medina_DN133835_c0_g1_i1_Symbiont",NA
"247","Up","Breviolum_Sid-radians_Avila-Medina_DN134102_c1_g1_i1_Symbiont",NA
"248","Up","Breviolum_Sid-radians_Avila-Medina_DN134326_c0_g2_i1_Symbiont",NA
"249","Up","Breviolum_Sid-radians_Avila-Medina_DN134428_c0_g1_i1_Symbiont",NA
"250","Up","Breviolum_Sid-radians_Avila-Medina_DN134542_c0_g1_i1_Symbiont",NA
"251","Up","Breviolum_Sid-radians_Avila-Medina_DN134680_c0_g1_i1_Symbiont",NA
"252","Up","Breviolum_Sid-radians_Avila-Medina_DN135307_c0_g1_i1_Symbiont",NA
"253","Up","Breviolum_Sid-radians_Avila-Medina_DN135539_c0_g1_i1_Symbiont",NA
"254","Up","Breviolum_Sid-radians_Avila-Medina_DN135665_c0_g1_i1_Symbiont",NA
"255","Up","Breviolum_Sid-radians_Avila-Medina_DN135670_c0_g1_i2_Symbiont",NA
"256","Up","Breviolum_Sid-radians_Avila-Medina_DN135675_c0_g1_i1_Symbiont",NA
"257","Up","Breviolum_Sid-radians_Avila-Medina_DN135701_c1_g1_i1_Symbiont",NA
"258","Up","Breviolum_Sid-radians_Avila-Medina_DN135774_c0_g1_i1_Symbiont",NA
"259","Up","Breviolum_Sid-radians_Avila-Medina_DN136042_c0_g1_i1_Symbiont",NA
"260","Up","Breviolum_Sid-radians_Avila-Medina_DN136045_c0_g1_i1_Symbiont",NA
"261","Up","Breviolum_Sid-radians_Avila-Medina_DN136059_c0_g1_i1_Symbiont",NA
"262","Up","Breviolum_Sid-radians_Avila-Medina_DN136130_c0_g2_i1_Symbiont",NA
"263","Up","Breviolum_Sid-radians_Avila-Medina_DN136211_c0_g2_i1_Symbiont",NA
"264","Up","Breviolum_Sid-radians_Avila-Medina_DN136452_c0_g1_i1_Symbiont",NA
"265","Up","Breviolum_Sid-radians_Avila-Medina_DN136619_c0_g1_i1_Symbiont",NA
"266","Up","Breviolum_Sid-radians_Avila-Medina_DN136668_c0_g1_i1_Symbiont",NA
"267","Up","Breviolum_Sid-radians_Avila-Medina_DN136736_c0_g1_i1_Symbiont",NA
"268","Up","Breviolum_Sid-radians_Avila-Medina_DN136830_c0_g1_i1_Symbiont",NA
"269","Up","Breviolum_Sid-radians_Avila-Medina_DN136876_c0_g1_i1_Symbiont",NA
"270","Up","Breviolum_Sid-radians_Avila-Medina_DN137103_c0_g1_i1_Symbiont",NA
"271","Up","Breviolum_Sid-radians_Avila-Medina_DN137345_c0_g1_i1_Symbiont",NA
