"","DEG","up.results_OC_RC_padj.1","down.results_OC_RC_padj.1"
"240","Down",NA,"Cladocopium_Davies_comp114819_c0_seq3_Symbiont"
"241","Down",NA,"Cladocopium_Davies_comp114821_c0_seq1_Symbiont"
"242","Down",NA,"Cladocopium_Davies_comp114825_c0_seq1_Symbiont"
"243","Down",NA,"Cladocopium_Davies_comp114837_c0_seq1_Symbiont"
"244","Down",NA,"Cladocopium_Davies_comp114845_c0_seq1_Symbiont"
"245","Down",NA,"Cladocopium_Davies_comp114850_c0_seq1_Symbiont"
"246","Down",NA,"Cladocopium_Davies_comp114851_c0_seq2_Symbiont"
"247","Down",NA,"Cladocopium_Davies_comp114865_c0_seq1_Symbiont"
"248","Down",NA,"Cladocopium_Davies_comp114880_c0_seq1_Symbiont"
"249","Down",NA,"Cladocopium_Davies_comp114892_c0_seq1_Symbiont"
"250","Down",NA,"Cladocopium_Davies_comp114894_c0_seq1_Symbiont"
"251","Down",NA,"Cladocopium_Davies_comp114900_c0_seq1_Symbiont"
"252","Down",NA,"Cladocopium_Davies_comp114960_c0_seq1_Symbiont"
"253","Down",NA,"Cladocopium_Davies_comp114988_c0_seq1_Symbiont"
"254","Down",NA,"Cladocopium_Davies_comp115017_c0_seq1_Symbiont"
"255","Down",NA,"Cladocopium_Davies_comp115031_c0_seq1_Symbiont"
"256","Down",NA,"Cladocopium_Davies_comp115052_c0_seq1_Symbiont"
"257","Down",NA,"Cladocopium_Davies_comp115085_c0_seq1_Symbiont"
"258","Down",NA,"Cladocopium_Davies_comp115095_c0_seq1_Symbiont"
"259","Down",NA,"Cladocopium_Davies_comp115096_c0_seq1_Symbiont"
"260","Down",NA,"Cladocopium_Davies_comp115097_c0_seq1_Symbiont"
"261","Down",NA,"Cladocopium_Davies_comp115098_c0_seq1_Symbiont"
"262","Down",NA,"Cladocopium_Davies_comp115101_c0_seq1_Symbiont"
"263","Down",NA,"Cladocopium_Davies_comp115129_c0_seq1_Symbiont"
"264","Down",NA,"Cladocopium_Davies_comp115137_c0_seq1_Symbiont"
"265","Down",NA,"Cladocopium_Davies_comp115139_c0_seq1_Symbiont"
"266","Down",NA,"Cladocopium_Davies_comp115146_c0_seq1_Symbiont"
"267","Down",NA,"Cladocopium_Davies_comp115148_c0_seq1_Symbiont"
"268","Down",NA,"Cladocopium_Davies_comp115168_c0_seq2_Symbiont"
"269","Down",NA,"Cladocopium_Davies_comp115170_c0_seq1_Symbiont"
"270","Down",NA,"Cladocopium_Davies_comp115179_c0_seq1_Symbiont"
"271","Down",NA,"Cladocopium_Davies_comp115180_c0_seq1_Symbiont"
"272","Down",NA,"Cladocopium_Davies_comp115192_c0_seq1_Symbiont"
"273","Down",NA,"Cladocopium_Davies_comp115213_c0_seq1_Symbiont"
"274","Down",NA,"Cladocopium_Davies_comp115216_c0_seq1_Symbiont"
"275","Down",NA,"Cladocopium_Davies_comp115217_c0_seq1_Symbiont"
"276","Down",NA,"Cladocopium_Davies_comp115230_c0_seq1_Symbiont"
"277","Down",NA,"Cladocopium_Davies_comp115239_c0_seq1_Symbiont"
"278","Down",NA,"Cladocopium_Davies_comp115253_c0_seq1_Symbiont"
"279","Down",NA,"Cladocopium_Davies_comp115257_c0_seq1_Symbiont"
"280","Down",NA,"Cladocopium_Davies_comp115263_c0_seq1_Symbiont"
"281","Down",NA,"Cladocopium_Davies_comp115269_c0_seq1_Symbiont"
"282","Down",NA,"Cladocopium_Davies_comp115271_c0_seq1_Symbiont"
"283","Down",NA,"Cladocopium_Davies_comp115276_c0_seq1_Symbiont"
"284","Down",NA,"Cladocopium_Davies_comp115280_c0_seq1_Symbiont"
"285","Down",NA,"Cladocopium_Davies_comp115286_c0_seq1_Symbiont"
"286","Down",NA,"Cladocopium_Davies_comp115295_c0_seq1_Symbiont"
"287","Down",NA,"Cladocopium_Davies_comp115309_c0_seq1_Symbiont"
"288","Down",NA,"Cladocopium_Davies_comp115311_c0_seq1_Symbiont"
"289","Down",NA,"Cladocopium_Davies_comp115318_c0_seq1_Symbiont"
"290","Down",NA,"Cladocopium_Davies_comp115319_c0_seq1_Symbiont"
"291","Down",NA,"Cladocopium_Davies_comp115337_c0_seq1_Symbiont"
"292","Down",NA,"Cladocopium_Davies_comp115377_c0_seq1_Symbiont"
"293","Down",NA,"Cladocopium_Davies_comp115388_c0_seq1_Symbiont"
"294","Down",NA,"Cladocopium_Davies_comp115437_c0_seq2_Symbiont"
"295","Down",NA,"Cladocopium_Davies_comp115445_c0_seq1_Symbiont"
"296","Down",NA,"Cladocopium_Davies_comp115462_c0_seq1_Symbiont"
"297","Down",NA,"Cladocopium_Davies_comp115466_c0_seq1_Symbiont"
"298","Down",NA,"Cladocopium_Davies_comp115475_c0_seq1_Symbiont"
"299","Down",NA,"Cladocopium_Davies_comp115494_c0_seq1_Symbiont"
"300","Down",NA,"Cladocopium_Davies_comp115498_c0_seq1_Symbiont"
