Filename	Total#Reads	NumContigsMatched	NumUnaligned	NumAligned	NumMultiAligned	NumSingleAligned	NumQualSingles	PropQualAligned
/cm/shared/courses/dbarshis/barshislab/VRad/taxons/Siderastrea_siderea/mapped_hybridref/R_030_C_Sid_yr2_R1_nof_hybridref.sam	43114541	34309	10267534	32847007	28295626	4551381	32787811	0.760
/cm/shared/courses/dbarshis/barshislab/VRad/taxons/Siderastrea_siderea/mapped_hybridref/R_031_La_Sid_yr2_R1_nof_hybridref.sam	44568461	31332	12450867	32117594	27786541	4331053	32070059	0.720
Filename	Total#Reads	NumContigsMatched	NumUnaligned	NumAligned	NumMultiAligned	NumSingleAligned	NumQualSingles	PropQualAligned
/cm/shared/courses/dbarshis/barshislab/VRad/taxons/Siderastrea_siderea/mapped_hybridref_final/PC_349_C_Sid_yr2_R1_nof_hybridref.sam	13287997	32857	6789363	6498634	4560725	1937909	6480591	0.488
/cm/shared/courses/dbarshis/barshislab/VRad/taxons/Siderastrea_siderea/mapped_hybridref_final/PC_350_La_Sid_yr2_R1_nof_hybridref.sam	7250554	30495	2702008	4548546	3644216	904330	4541955	0.626
/cm/shared/courses/dbarshis/barshislab/VRad/taxons/Siderastrea_siderea/mapped_hybridref_final/PC_361_N_Sid_yr2_R1_nof_hybridref.sam	15428999	28145	9222597	6206402	3798319	2408083	6196380	0.402
/cm/shared/courses/dbarshis/barshislab/VRad/taxons/Siderastrea_siderea/mapped_hybridref_final/PC_362_C_Sid_yr2_R1_nof_hybridref.sam	17770259	35349	9857318	7912941	5075299	2837642	7904486	0.445
/cm/shared/courses/dbarshis/barshislab/VRad/taxons/Siderastrea_siderea/mapped_hybridref_final/PC_363_La_Sid_yr2_R1_nof_hybridref.sam	19390939	27214	10652696	8738243	5696572	3041671	8727829	0.450
/cm/shared/courses/dbarshis/barshislab/VRad/taxons/Siderastrea_siderea/mapped_hybridref_final/PC_364_N_Sid_yr2_R1_nof_hybridref.sam	28550162	44378	15190421	13359741	8737726	4622015	13342649	0.467
/cm/shared/courses/dbarshis/barshislab/VRad/taxons/Siderastrea_siderea/mapped_hybridref_final/PC_365_C_Sid_yr2_R1_nof_hybridref.sam	28016990	42154	16150939	11866051	7368198	4497853	11849808	0.423
/cm/shared/courses/dbarshis/barshislab/VRad/taxons/Siderastrea_siderea/mapped_hybridref_final/PC_366_La_Sid_yr2_R1_nof_hybridref.sam	23711222	46621	12771136	10940086	6749335	4190751	10927797	0.461
/cm/shared/courses/dbarshis/barshislab/VRad/taxons/Siderastrea_siderea/mapped_hybridref_final/PC_368_C_Sid_yr2_R1_nof_hybridref.sam	26530772	42532	14487991	12042781	7927134	4115647	12026896	0.453
/cm/shared/courses/dbarshis/barshislab/VRad/taxons/Siderastrea_siderea/mapped_hybridref_final/PC_370_N_Sid_yr2_R1_nof_hybridref.sam	22331105	9984	16551673	5779432	3338278	2441154	5773479	0.259
/cm/shared/courses/dbarshis/barshislab/VRad/taxons/Siderastrea_siderea/mapped_hybridref_final/PC_371_C_Sid_yr2_R1_nof_hybridref.sam	23613927	34869	12091605	11522322	7690253	3832069	11514824	0.488
/cm/shared/courses/dbarshis/barshislab/VRad/taxons/Siderastrea_siderea/mapped_hybridref_final/PC_372_La_Sid_yr2_R1_nof_hybridref.sam	29011961	44621	14968323	14043638	9191729	4851909	14028666	0.484
/cm/shared/courses/dbarshis/barshislab/VRad/taxons/Siderastrea_siderea/mapped_hybridref_final/PC_373_N_Sid_yr2_R1_nof_hybridref.sam	15224573	5917	10278912	4945661	3760294	1185367	4921222	0.323
/cm/shared/courses/dbarshis/barshislab/VRad/taxons/Siderastrea_siderea/mapped_hybridref_final/PC_374_C_Sid_yr2_R1_nof_hybridref.sam	16315002	36414	8247259	8067743	5692918	2374825	8060694	0.494
/cm/shared/courses/dbarshis/barshislab/VRad/taxons/Siderastrea_siderea/mapped_hybridref_final/PC_375_La_Sid_yr2_R1_nof_hybridref.sam	26836541	44836	14577368	12259173	7964223	4294950	12247690	0.456
