"","gene","module"
"251","Siderastrea_Mexico_Barshis-Radice_Host_contig12426","midnightblue"
"252","Siderastrea_Mexico_Barshis-Radice_Host_contig12516","midnightblue"
"253","Siderastrea_Mexico_Barshis-Radice_Host_contig12540","midnightblue"
"254","Siderastrea_Mexico_Barshis-Radice_Host_contig12610","midnightblue"
"255","Siderastrea_Mexico_Barshis-Radice_Host_contig12635","midnightblue"
"256","Siderastrea_Mexico_Barshis-Radice_Host_contig12688","midnightblue"
"257","Siderastrea_Mexico_Barshis-Radice_Host_contig12706","midnightblue"
"258","Siderastrea_Mexico_Barshis-Radice_Host_contig12877","midnightblue"
"259","Siderastrea_Mexico_Barshis-Radice_Host_contig13033","midnightblue"
"260","Siderastrea_Mexico_Barshis-Radice_Host_contig13131","midnightblue"
"261","Siderastrea_Mexico_Barshis-Radice_Host_contig13206","midnightblue"
"262","Siderastrea_Mexico_Barshis-Radice_Host_contig13226","midnightblue"
"263","Siderastrea_Mexico_Barshis-Radice_Host_contig13303","midnightblue"
"264","Siderastrea_Mexico_Barshis-Radice_Host_contig13399","midnightblue"
"265","Siderastrea_Mexico_Barshis-Radice_Host_contig13487","midnightblue"
"266","Siderastrea_Mexico_Barshis-Radice_Host_contig13723","midnightblue"
"267","Siderastrea_Mexico_Barshis-Radice_Host_contig13754","midnightblue"
"268","Siderastrea_Mexico_Barshis-Radice_Host_contig14110","midnightblue"
"269","Siderastrea_Mexico_Barshis-Radice_Host_contig14157","midnightblue"
"270","Siderastrea_Mexico_Barshis-Radice_Host_contig14166","midnightblue"
"271","Siderastrea_Mexico_Barshis-Radice_Host_contig14291","midnightblue"
"272","Siderastrea_Mexico_Barshis-Radice_Host_contig14298","midnightblue"
"273","Siderastrea_Mexico_Barshis-Radice_Host_contig14330","midnightblue"
"274","Siderastrea_Mexico_Barshis-Radice_Host_contig14357","midnightblue"
"275","Siderastrea_Mexico_Barshis-Radice_Host_contig14393","midnightblue"
"276","Siderastrea_Mexico_Barshis-Radice_Host_contig14419","midnightblue"
"277","Siderastrea_Mexico_Barshis-Radice_Host_contig14465","midnightblue"
"278","Siderastrea_Mexico_Barshis-Radice_Host_contig14477","midnightblue"
"279","Siderastrea_Mexico_Barshis-Radice_Host_contig14527","midnightblue"
"280","Siderastrea_Mexico_Barshis-Radice_Host_contig14602","midnightblue"
"281","Siderastrea_Mexico_Barshis-Radice_Host_contig14672","midnightblue"
"282","Siderastrea_Mexico_Barshis-Radice_Host_contig14776","midnightblue"
"283","Siderastrea_Mexico_Barshis-Radice_Host_contig14800","midnightblue"
"284","Siderastrea_Mexico_Barshis-Radice_Host_contig14813","midnightblue"
"285","Siderastrea_Mexico_Barshis-Radice_Host_contig14859","midnightblue"
"286","Siderastrea_Mexico_Barshis-Radice_Host_contig14991","midnightblue"
"287","Siderastrea_Mexico_Barshis-Radice_Host_contig15057","midnightblue"
"288","Siderastrea_Mexico_Barshis-Radice_Host_contig15218","midnightblue"
"289","Siderastrea_Mexico_Barshis-Radice_Host_contig15219","midnightblue"
"290","Siderastrea_Mexico_Barshis-Radice_Host_contig15344","midnightblue"
