ContigName,PC_349_C_Sid_yr2,PC_350_La_Sid_yr2,PC_361_N_Sid_yr2,PC_362_C_Sid_yr2,PC_363_La_Sid_yr2,PC_364_N_Sid_yr2,PC_365_C_Sid_yr2,PC_366_La_Sid_yr2,PC_368_C_Sid_yr2,PC_370_N_Sid_yr2,PC_371_C_Sid_yr2,PC_372_La_Sid_yr2,PC_373_N_Sid_yr2,PC_374_C_Sid_yr2,PC_375_La_Sid_yr2,PC_376_N_Sid_yr2,PO_331_C_Sid_yr2,PO_332_La_Sid_yr2,PO_333_N_Sid_yr2,PO_334_C_Sid_yr2,PO_335_La_Sid_yr2,PO_336_N_Sid_yr2,PO_337_C_Sid_yr2,PO_338_La_Sid_yr2,PO_339_N_Sid_yr2,PO_340_C_Sid_yr2,PO_341_La_Sid_yr2,PO_342_N_Sid_yr2,PO_343_C_Sid_yr2,PO_344_La_Sid_yr2,PO_345_N_Sid_yr2,PO_347_La_Sid_yr2,PO_348_N_Sid_yr2,R_003_C_Sid_yr2,R_004_La_Sid_yr2,R_005_N_Sid_yr2,R_009_C_Sid_yr2,R_010_La_Sid_yr2,R_011_N_Sid_yr2,R_012_C_Sid_yr2,R_013_La_Sid_yr2,R_014_N_Sid_yr2,R_015_C_Sid_yr2,R_017_N_Sid_yr2,R_018_C_Sid_yr2,R_019_La_Sid_yr2,R_020_N_Sid_yr2,R_021_C_Sid_yr2,R_022_La_Sid_yr2,R_024_C_Sid_yr2,R_025_La_Sid_yr2,R_026_N_Sid_yr2,R_027_C_Sid_yr2,R_029_N_Sid_yr2,R_030_C_Sid_yr2,R_031_La_Sid_yr2
Siderastrea_Mexico_Barshis-Radice_Host_contig06772,5,4,4,3,4,8,17,15,11,0,11,20,0,12,11,0,0,4,0,5,7,4,13,3,4,5,6,11,10,23,11,5,1,2,17,12,16,19,11,31,47,1,5,20,0,7,7,11,27,0,81,0,10,11,10,23
Siderastrea_Mexico_Barshis-Radice_Host_contig06773,4,0,1,1,0,11,3,2,3,0,7,2,0,6,10,1,1,7,0,6,0,0,4,6,1,10,4,11,1,0,4,7,0,4,9,13,12,5,8,28,46,0,12,25,0,4,10,7,0,4,118,0,4,23,7,23
Siderastrea_Mexico_Barshis-Radice_Host_contig06774,0,0,0,1,0,1,1,0,1,0,0,4,3,4,2,0,0,0,0,1,0,4,3,1,1,5,0,0,0,1,0,0,0,0,1,3,0,0,1,6,6,0,3,1,0,0,1,0,4,0,14,0,0,0,1,5
Siderastrea_Mexico_Barshis-Radice_Host_contig06775,1,0,0,0,1,4,2,0,1,0,2,1,0,0,0,0,0,1,0,1,1,0,2,0,1,1,0,0,1,1,3,1,0,0,0,0,0,1,3,4,6,0,1,3,0,0,2,0,5,0,15,0,0,17,0,2
Siderastrea_Mexico_Barshis-Radice_Host_contig06776,6,2,1,6,2,2,8,6,5,0,6,13,0,1,3,0,1,1,0,5,0,0,2,2,1,0,0,1,9,4,2,0,4,3,6,8,2,0,0,5,25,0,7,10,0,7,9,4,8,0,23,0,2,1,0,4
Siderastrea_Mexico_Barshis-Radice_Host_contig06777,1,10,0,1,0,2,5,6,2,15,5,6,1,3,2,1,0,1,1,1,1,2,0,0,2,0,1,2,7,6,25,0,1,1,15,23,12,4,8,76,257,1,7,75,0,13,50,6,17,1,532,1,0,79,1,128
Siderastrea_Mexico_Barshis-Radice_Host_contig06778,2,1,6,3,1,4,13,7,3,1,13,14,0,7,3,0,4,4,0,5,0,0,11,0,1,5,7,0,6,5,2,20,4,4,9,7,7,5,3,15,22,0,5,17,0,4,5,1,9,18,72,0,7,3,5,20
Siderastrea_Mexico_Barshis-Radice_Host_contig06779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Siderastrea_Mexico_Barshis-Radice_Host_contig06780,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Siderastrea_Mexico_Barshis-Radice_Host_contig06781,8,1,8,2,0,9,10,2,8,0,2,3,0,9,5,0,5,6,1,7,0,1,17,1,7,2,4,1,7,6,1,9,24,0,9,6,9,3,13,17,8,0,10,2,0,8,4,2,4,0,15,0,5,4,4,4
