"","DEG","up.results_OC_RC_padj.1","down.results_OC_RC_padj.1"
"229","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig08297"
"230","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig08343"
"231","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig08351"
"232","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig08362"
"233","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig08384"
"234","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig08406"
"235","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig08460"
"236","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig08492"
"237","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig08534"
"238","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig08551"
"239","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig08557"
"240","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig08564"
"241","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig08606"
"242","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig08610"
"243","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig08614"
"244","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig08675"
"245","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig08771"
"246","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig08772"
"247","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig08856"
"248","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig08879"
"249","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig08920"
"250","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig08936"
"251","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig08943"
"252","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig08970"
"253","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig08989"
"254","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig09004"
"255","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig09012"
"256","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig09047"
"257","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig09127"
"258","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig09205"
"259","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig09321"
"260","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig09367"
"261","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig09434"
"262","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig09499"
"263","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig09643"
"264","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig09664"
"265","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig09701"
"266","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig09747"
"267","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig09767"
"268","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig09775"
"269","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig09802"
"270","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig09821"
"271","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig09840"
"272","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig09877"
"273","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig10027"
"274","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig10074"
"275","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig10086"
"276","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig10108"
"277","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig10145"
"278","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig10161"
"279","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig10163"
"280","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig10174"
"281","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig10178"
"282","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig10256"
"283","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig10387"
"284","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig10449"
"285","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig10456"
"286","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig10507"
"287","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig10558"
"288","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig10564"
"289","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig10590"
"290","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig10596"
"291","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig10666"
"292","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig10748"
"293","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig10828"
"294","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig10835"
"295","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig10868"
"296","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig10884"
"297","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig10888"
"298","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig11093"
"299","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig11095"
"300","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig11174"
"301","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig11207"
"302","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig11265"
"303","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig11308"
"304","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig11316"
"305","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig11332"
"306","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig11335"
"307","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig11352"
"308","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig11370"
"309","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig11458"
"310","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig11521"
"311","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig11527"
"312","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig11556"
"313","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig11564"
"314","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig11598"
"315","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig11612"
"316","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig11650"
"317","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig11727"
"318","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig11752"
"319","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig11815"
"320","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig11820"
"321","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig11828"
"322","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig11831"
"323","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig11951"
"324","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig12069"
"325","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig12073"
"326","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig12102"
"327","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig12103"
"328","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig12108"
"329","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig12161"
