"","DEG","up.results_OO_RO_padj.1","down.results_OO_RO_padj.1"
"153","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig05194"
"154","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig05208"
"155","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig05245"
"156","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig05297"
"157","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig05340"
"158","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig05371"
"159","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig05413"
"160","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig05505"
"161","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig05516"
"162","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig05526"
"163","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig05532"
"164","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig05587"
"165","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig05740"
"166","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig05813"
"167","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig05906"
"168","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig05929"
"169","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig05945"
"170","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig05954"
"171","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig05957"
"172","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig05968"
"173","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig06032"
"174","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig06068"
"175","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig06098"
"176","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig06116"
"177","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig06122"
