Sample_ID,id,species,origin,transplant,RTEtime_months,status.survival,extension_mm,density_g.cm3,tissue.vol_ml,tissue.area_cm2,chla.conc_ug.ml,zoox.conc_cell.ml,prot.conc_mg.ml,zoox.cells.cm2,chla.ug.cm2,chla.ug.cell,chla.10.6.ug.cm2,protein.mg.cm2,zoox.10.6.cells.cm2,Origin_code,Origin_name,Origin_type,treatment_Origin-Dest,Destination_code,Destination_type,Destination_name,pH_Destination,transplant.position,Colony_ID,coral.collection.date_YYYY-MM-DD,RTE.deployment.date_YYYY-MM-DD,sampling.date.RNAlater_year2_YYYY-MM-DD,RNA-seq
PC_366_La_Sid_yr2,366,Siderastrea,Control,Ojo,24,0,7.4,1.430891089,20,6.6103272,83.93932,12166667,0.713,36811088.56,253.96,6.89912E-06,6.90,2.16,36.81,PC,Pargos.Control,Control,control_ojo,La,ojo,Ojo.Laja,Low,L9,55,14/12/12,17/12/12,15/1/15,Yes
PC_368_C_Sid_yr2,368,Siderastrea,Control,Control,24,0,2.1,,7,0.443637,7.2608,2800000,,44180264.5,114.57,2.59314E-06,2.59,,44.18,PC,Pargos.Control,Control,control_control,C,control,Control.Laja,High,C17,549,14/12/12,17/12/12,15/1/15,Yes
PC_370_N_Sid_yr2,370,,,,,,,,,,,,,,,,,,,PC,Pargos.Control,Control,control_ojo,N,ojo,Ojo.Norte,Low,N10,549,14/12/12,18/12/12,14/1/15,Yes
PC_371_C_Sid_yr2,371,Siderastrea,Control,Control,24,0,5.2,1.771962147,10,10.1523131,4.62056,3216667,0.448,3168407.996,4.55,1.43644E-06,1.44,0.44,3.17,PC,Pargos.Control,Control,control_control,C,control,Control.Laja,High,C31,617,14/12/12,17/12/12,15/1/15,Yes
PC_372_La_Sid_yr2,372,Siderastrea,Control,Ojo,24,0,3.9,1.562246964,16,2.73872023,11.5794,3100000,0.395,18110648.71,67.65,3.73529E-06,3.74,2.31,18.11,PC,Pargos.Control,Control,control_ojo,La,ojo,Ojo.Laja,Low,L34,617,14/12/12,17/12/12,15/1/15,Yes
PC_373_N_Sid_yr2,373,,,,,,,,,,,,,,,,,,,PC,Pargos.Control,Control,control_ojo,N,ojo,Ojo.Norte,Low,N4,617,14/12/12,18/12/12,14/1/15,Yes
PC_374_C_Sid_yr2,374,Siderastrea,Control,Control,24,0,2,,3,1.80846244,2.0438,550000,0.045,912377.2568,3.39,0.000003716,3.72,0.07,0.91,PC,Pargos.Control,Control,control_control,C,control,Control.Laja,High,C33,703,14/12/12,17/12/12,15/1/15,Yes
PC_375_La_Sid_yr2,375,Siderastrea,Control,Ojo,24,0,4.5,1.254185693,6,6.4166112,31.21184,7366667,0.314,6888371.544,29.19,4.2369E-06,4.24,0.29,6.89,PC,Pargos.Control,Control,control_ojo,La,ojo,Ojo.Laja,Low,L52,703,14/12/12,17/12/12,15/1/15,Yes
PC_376_N_Sid_yr2,376,,,,,,,,,,,,,,,,,,,PC,Pargos.Control,Control,control_ojo,N,ojo,Ojo.Norte,Low,N19,703,14/12/12,18/12/12,14/1/15,Yes
PO_331_C_Sid_yr2,331,Siderastrea,Ojo,Control,24,0,2.5,1.427867384,6,2.6641872,3.90408,1150000,0.155,2589908.097,8.79,3.39485E-06,3.39,0.35,2.59,PO,Pargos.Ojo,Ojo,ojo_control,C,control,Control.Laja,High,C15,521,14/12/12,17/12/12,15/1/15,Yes
PO_332_La_Sid_yr2,332,Siderastrea,Ojo,Ojo,24,0,5.7,1.242825607,13,6.2747458,54.35516,9000000,0.69,18646173.68,112.61,6.03946E-06,6.04,1.43,18.65,PO,Pargos.Ojo,Ojo,ojo_ojo,La,ojo,Ojo.Laja,Low,L36,521,14/12/12,17/12/12,15/1/15,Yes
PO_333_N_Sid_yr2,333,,,,,,,,,,,,,,,,,,,PO,Pargos.Ojo,Ojo,ojo_ojo,N,ojo,Ojo.Norte,Low,N41,521,14/12/12,18/12/12,14/1/15,Yes
PO_334_C_Sid_yr2,334,Siderastrea,Ojo,Control,24,0,3.8,,6,5.3632992,7.0266,1666667,0.149,1864524.358,7.86,4.21596E-06,4.22,0.17,1.86,PO,Pargos.Ojo,Ojo,ojo_control,C,control,Control.Laja,High,C14,661,14/12/12,17/12/12,15/1/15,Yes
PO_335_La_Sid_yr2,335,Siderastrea,Ojo,Ojo,24,0,,,15,,36.70892,7900000,0.688,,,4.6467E-06,4.65,,,PO,Pargos.Ojo,Ojo,ojo_ojo,La,ojo,Ojo.Laja,Low,L28,661,14/12/12,17/12/12,15/1/15,Yes
PO_336_N_Sid_yr2,336,,,,,,,,,,,,,,,,0.00,,,PO,Pargos.Ojo,Ojo,ojo_ojo,N,ojo,Ojo.Norte,Low,N28,661,14/12/12,18/12/12,14/1/15,Yes
